---
Failed reset. Missing time axis so copied the time axis from '(device,0,0,-1,-1,0,0)_2202211410_set_0_5_0.5_50uA.csv'
---
BI,BV,AI,AV,Time
8.00E-03,0.00E+00,-8.00E-03,-4.20E+00,3.78E+00
8.00E-03,0.00E+00,-8.00E-03,-4.25E+00,3.83E+00
8.00E-03,0.00E+00,-8.00E-03,-4.30E+00,3.87E+00
8.00E-03,0.00E+00,-8.00E-03,-4.35E+00,3.91E+00
8.00E-03,0.00E+00,-8.00E-03,-4.40E+00,3.96E+00
8.00E-03,0.00E+00,-8.00E-03,-4.45E+00,4.00E+00
8.00E-03,0.00E+00,-8.00E-03,-4.50E+00,4.04E+00
8.00E-03,0.00E+00,-8.00E-03,-4.55E+00,4.09E+00
8.00E-03,0.00E+00,-8.00E-03,-4.60E+00,4.13E+00
8.00E-03,0.00E+00,-8.00E-03,-4.65E+00,4.18E+00
8.00E-03,0.00E+00,-8.00E-03,-4.70E+00,4.20E+00
8.00E-03,0.00E+00,-8.00E-03,-4.75E+00,4.23E+00
8.00E-03,0.00E+00,-8.00E-03,-4.80E+00,4.25E+00
8.00E-03,0.00E+00,-8.00E-03,-4.85E+00,4.28E+00
8.00E-03,0.00E+00,-8.00E-03,-4.90E+00,4.30E+00
8.00E-03,0.00E+00,-8.00E-03,-4.95E+00,4.33E+00
8.00E-03,0.00E+00,-8.00E-03,-5.00E+00,4.35E+00
