---
Failed reset
---
BI,BV,AI,AV
1.2016E-6,000.0000E-3,-1.3702E-6,000.0000E-3
410.4644E-6,000.0000E-3,-410.6244E-6,-50.0000E-3
816.5976E-6,000.0000E-3,-816.7371E-6,-100.0000E-3
1.2249E-3,000.0000E-3,-1.2251E-3,-150.0000E-3
1.6298E-3,000.0000E-3,-1.6299E-3,-200.0000E-3
2.0365E-3,000.0000E-3,-2.0366E-3,-250.0000E-3
2.4397E-3,000.0000E-3,-2.4398E-3,-300.0000E-3
2.8447E-3,000.0000E-3,-2.8448E-3,-350.0000E-3
3.2476E-3,000.0000E-3,-3.2477E-3,-400.0000E-3
3.6608E-3,000.0000E-3,-3.6609E-3,-450.0000E-3
4.0827E-3,000.0000E-3,-4.0828E-3,-500.0000E-3
4.5043E-3,000.0000E-3,-4.5043E-3,-550.0000E-3
4.9305E-3,000.0000E-3,-4.9306E-3,-600.0000E-3
4.9999E-3,000.0000E-3,-4.9999E-3,-650.0000E-3
4.9998E-3,000.0000E-3,-4.9999E-3,-700.0000E-3
4.9999E-3,000.0000E-3,-4.9999E-3,-750.0000E-3
4.9998E-3,000.0000E-3,-4.9999E-3,-800.0000E-3
4.9998E-3,000.0000E-3,-4.9999E-3,-850.0000E-3
4.9998E-3,000.0000E-3,-4.9999E-3,-900.0000E-3
4.9999E-3,000.0000E-3,-4.9999E-3,-950.0000E-3
4.9999E-3,000.0000E-3,-4.9999E-3,-1.0000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.0500E+0
4.9999E-3,000.0000E-3,-4.9999E-3,-1.1000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.1500E+0
4.9999E-3,000.0000E-3,-4.9999E-3,-1.2000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.2500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.3000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.3500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.4000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.4500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.5000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.5500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.6000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.6500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.7000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.7500E+0
4.9999E-3,000.0000E-3,-4.9999E-3,-1.8000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.8500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.9000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-1.9500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.0000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.0500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.1000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.1500E+0
4.9999E-3,000.0000E-3,-4.9999E-3,-2.2000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.2500E+0
4.9999E-3,000.0000E-3,-4.9999E-3,-2.3000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.3500E+0
4.9999E-3,000.0000E-3,-4.9999E-3,-2.4000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.4500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.5000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.5500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.6000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.6500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.7000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.7500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.8000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.8500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.9000E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-2.9500E+0
4.9998E-3,000.0000E-3,-4.9999E-3,-3.0000E+0
