---
GND probe, set at 3.95V
---
Time,AI,AV
0.04302564263343811,-9.157599123454929e-10,0.0
0.08747530728578568,-1.204170985147357e-09,0.05000000074505806
0.1319630891084671,-1.4470433740143562e-09,0.10000000149011612
0.17644135653972626,-1.4521033264713878e-09,0.15000000596046448
0.22092437744140625,-1.4723431362995143e-09,0.20000000298023224
0.2654169201850891,-1.431864404821681e-09,0.25
0.3098999559879303,-1.5431806943411175e-09,0.30000001192092896
0.35439059138298035,-1.5381207418840859e-09,0.3499999940395355
0.39887648820877075,-1.6089591881041088e-09,0.4000000059604645
0.4433547556400299,-1.548240646798149e-09,0.44999998807907104
0.4878511130809784,-1.4875229936706091e-09,0.5
0.5323484539985657,-1.5431806943411175e-09,0.550000011920929
0.5768228769302368,-1.4875229936706091e-09,0.6000000238418579
0.6213163733482361,-1.4470433740143562e-09,0.6499999761581421
0.665795624256134,-1.4672831838424827e-09,0.699999988079071
0.7102776765823364,-1.5178818202343791e-09,0.75
0.7547597289085388,-1.431864404821681e-09,0.800000011920929
0.7992541790008545,-1.3863257208868163e-09,0.8500000238418579
0.8437448740005493,-1.3711467516941411e-09,0.8999999761581421
0.8882221579551697,-1.345846989408983e-09,0.949999988079071
0.9327108860015869,-1.3003083054741182e-09,1.0
0.9771987199783325,-1.2497096690822218e-09,1.0499999523162842
1.0216749906539917,-1.234529811711127e-09,1.100000023841858
1.0661475658416748,-1.2699494789103483e-09,1.149999976158142
1.1106334924697876,-1.2446497166251902e-09,1.2000000476837158
1.1551240682601929,-1.3104282103881815e-09,1.25
1.1996023654937744,-1.290188400560055e-09,1.2999999523162842
1.2440882921218872,-1.2395897641681586e-09,1.350000023841858
1.2885664701461792,-1.199111920868745e-09,1.399999976158142
1.333038091659546,-1.204170985147357e-09,1.4500000476837158
1.3775097131729126,-1.1434524438413973e-09,1.5
1.4220126867294312,-1.1282734746487222e-09,1.5499999523162842
1.4665205478668213,-1.1586323012124922e-09,1.600000023841858
1.5110235214233398,-1.0422560592360242e-09,1.649999976158142
1.5555113554000854,-1.1080345529990154e-09,1.7000000476837158
1.6000010967254639,-9.511786913662945e-10,1.75
1.6444973945617676,-9.967173753011593e-10,1.7999999523162842
1.6890157461166382,-9.359988339951997e-10,1.850000023841858
1.7335301637649536,-8.601022116749846e-10,1.899999976158142
1.7780370712280273,-8.651621641320162e-10,1.9500000476837158
1.8225438594818115,-8.651621641320162e-10,2.0
1.8670574426651,-7.740847962622865e-10,2.049999952316284
1.9115670919418335,-6.627685067428501e-10,2.0999999046325684
1.9560673236846924,-5.56510393323606e-10,2.1500000953674316
2.0005664825439453,-4.907336759174541e-10,2.200000047683716
2.045055389404297,-4.806137710033909e-10,2.25
2.0895707607269287,-2.8834001852828806e-10,2.299999952316284
2.1340746879577637,-2.1750157230826517e-10,2.3499999046325684
2.1785614490509033,-1.213642519815039e-10,2.4000000953674316
2.223059892654419,-1.213642519815039e-10,2.450000047683716
2.267542839050293,6.079048375795537e-11,2.5
2.3120219707489014,2.0246559984116175e-10,2.549999952316284
2.356527090072632,3.441416041027878e-10,2.5999999046325684
2.401024341583252,4.807567677289626e-10,2.6500000953674316
2.4455416202545166,5.617151188630487e-10,2.700000047683716
2.490053176879883,6.882103775751602e-10,2.75
2.534547805786133,7.641087762522147e-10,2.799999952316284
2.5790507793426514,9.36142718899191e-10,2.8499999046325684
2.6235337257385254,1.067698818246754e-09,2.9000000953674316
2.668027400970459,1.2852723330070148e-09,2.950000047683716
2.7125017642974854,1.4724870212035057e-09,3.0
2.7569875717163086,1.5534444841591721e-09,3.049999952316284
2.801486015319824,1.6647607736786085e-09,3.0999999046325684
2.8460023403167725,1.7001795526994101e-09,3.1500000953674316
2.8905138969421387,1.7912569205691398e-09,3.200000047683716
2.9350244998931885,2.1758048696085552e-09,3.25
2.979515314102173,2.0695476443677308e-09,3.299999952316284
3.0239953994750977,2.0847275017388256e-09,3.3499999046325684
3.0685107707977295,2.6058915025828355e-09,3.4000000953674316
3.1129958629608154,2.68178945717068e-09,3.450000047683716
3.1574654579162598,2.990439895711461e-09,3.5
3.2019636631011963,2.975260482429576e-09,3.549999952316284
3.246466875076294,2.8487638914498348e-09,3.5999999046325684
3.2909717559814453,2.8386444306249814e-09,3.6500000953674316
3.3354766368865967,3.612800281160844e-09,3.700000047683716
3.3799548149108887,3.6937581882057202e-09,3.75
3.4244332313537598,4.685487553501844e-09,3.799999952316284
3.468923807144165,3.9518099903546045e-09,3.8499999046325684
3.5134096145629883,3.2267980714095756e-05,3.9000000953674316
3.5381107330322266,4.5001477701589465e-05,3.950000047683716
3.563055992126465,4.500151771935634e-05,4.0
3.5880231857299805,4.5001528633292764e-05,4.050000190734863
3.61297869682312,4.500147406361066e-05,4.099999904632568
3.637925863265991,4.5001488615525886e-05,4.150000095367432
3.662868022918701,4.5001514081377536e-05,4.199999809265137
3.6878132820129395,4.500146314967424e-05,4.25
3.712782144546509,4.500147042563185e-05,4.300000190734863
3.7377302646636963,4.5001477701589465e-05,4.349999904632568
3.762685775756836,4.50014958914835e-05,4.400000095367432
3.7876291275024414,4.500144859775901e-05,4.449999809265137
3.8125979900360107,4.500149952946231e-05,4.5
3.8375556468963623,4.500147042563185e-05,4.550000190734863
3.8625025749206543,4.500146314967424e-05,4.599999904632568
3.8874592781066895,4.500143040786497e-05,4.650000095367432
3.912416696548462,4.50014449597802e-05,4.699999809265137
3.9373857975006104,4.50014449597802e-05,4.75
3.962329864501953,4.500145951169543e-05,4.800000190734863
3.9872989654541016,4.5001477701589465e-05,4.849999904632568
4.01225471496582,4.50014449597802e-05,4.900000095367432
4.03720235824585,4.5001401304034516e-05,4.949999809265137
4.06216287612915,4.500144859775901e-05,5.0

